global_step,value
0,0.0409
1,0.0584
2,0.1246
3,0.1340
4,0.1646
5,0.1272
6,0.1783
7,0.1686
8,0.2145
9,0.1799
10,0.1450
11,0.1708
12,0.1993
13,0.1731
14,0.2418
15,0.1665
16,0.1928
17,0.2465
18,0.2379
19,0.2934
20,0.2779
21,0.2763
22,0.3588
23,0.2662
24,0.3178
25,0.3070
26,0.3308
27,0.2587
28,0.3610
29,0.3308
30,0.3137
31,0.3143
32,0.3593
33,0.3605
34,0.3312
35,0.3470
36,0.3816
37,0.3050
38,0.3523
39,0.3497
40,0.4192
41,0.4636
42,0.3944
43,0.4256
44,0.3470
45,0.4100
46,0.3569
47,0.3658
48,0.3678
49,0.4039
50,0.3678
51,0.3469
52,0.3574
53,0.3658
54,0.3720
55,0.4698
56,0.4015
57,0.4142
58,0.3753
59,0.4882
60,0.4444
61,0.4524
62,0.4397
63,0.3981
64,0.5799
65,0.4576
66,0.4064
67,0.4392
68,0.3821
69,0.4328
70,0.4640
71,0.4126
72,0.3849
73,0.4707
74,0.4233
75,0.3941
76,0.3778
77,0.4484
78,0.4379
79,0.4196
80,0.4859
81,0.4217
82,0.5316
83,0.5052
84,0.4523
85,0.4459
86,0.4420
87,0.4255
88,0.4731
89,0.4754
90,0.4602
91,0.4395
92,0.4443
93,0.4615
94,0.4663
95,0.4620
96,0.4750
97,0.4480
98,0.4308
99,0.5206
100,0.4943
101,0.4661
102,0.4858
103,0.4251
104,0.4257
105,0.4214
106,0.4251
107,0.4287
108,0.4706
109,0.4703
110,0.4402
111,0.4964
112,0.5074
113,0.4916
114,0.4259
115,0.4281
116,0.4136
117,0.5138
118,0.4290
119,0.4460
120,0.4867
121,0.4725
122,0.4379
123,0.4372
124,0.5141
125,0.5009
126,0.6456
127,0.4689
128,0.4760
129,0.4435
130,0.4268
131,0.4876
132,0.4148
133,0.4279
134,0.4600
135,0.5008
136,0.4916
137,0.5041
138,0.4765
139,0.4747
140,0.4549
141,0.5247
142,0.4585
143,0.4883
144,0.4602
145,0.4405
146,0.4512
147,0.4284
148,0.4986
149,0.4183
150,0.4479
151,0.5095
152,0.5403
153,0.4944
154,0.5143
155,0.4707
156,0.5232
157,0.6183
158,0.5007
159,0.5692
160,0.4885
161,0.5485
162,0.6287
163,0.5186
164,0.4637
165,0.4883
166,0.4751
167,0.4921
168,0.5223
169,0.4326
170,0.4950
171,0.5202
172,0.6371
173,0.4972
174,0.4991
175,0.4539
176,0.4884
177,0.5027
178,0.5666
179,0.4903
180,0.5904
181,0.4931
182,0.5540
183,0.5282
184,0.5011
185,0.4727
186,0.4811
187,0.4658
188,0.4596
189,0.4919
190,0.5354
191,0.6715
192,0.5407
193,0.5045
194,0.5268
195,0.5357
196,0.4485
197,0.4850
198,0.4594
199,0.5802
200,0.5115
201,0.5079
202,0.6177
203,0.5206
204,0.4778
205,0.4685
206,0.4932
207,0.4463
208,0.5336
209,0.4791
210,0.5173
211,0.5134
212,0.5802
213,0.4914
214,0.4656
215,0.4517
216,0.5574
217,0.4465
218,0.5356
219,0.5603
220,0.4997
221,0.5035
222,0.5374
223,0.5779
224,0.4892
225,0.4695
226,0.4510
227,0.5366
228,0.5126
229,0.4895
230,0.5404
231,0.4739
232,0.5570
233,0.4686
234,0.5153
235,0.4831
236,0.4883
237,0.5174
238,0.5218
239,0.5491
240,0.5027
241,0.5063
242,0.4674
243,0.4999
244,0.5029
245,0.6120
246,0.5285
247,0.5123
248,0.5075
249,0.5140
250,0.4990
251,0.6734
252,0.6163
253,0.6127
254,0.5352
255,0.4888
256,0.4939
257,0.4981
258,0.5028
259,0.5570
260,0.4819
261,0.6225
262,0.4897
263,0.5389
264,0.5011
265,0.5112
266,0.5186
267,0.5618
268,0.5318
269,0.5299
270,0.5377
271,0.5479
272,0.5403
273,0.5524
274,0.5622
275,0.5512
276,0.6008
277,0.5376
278,0.5771
279,0.5071
280,0.5187
281,0.5146
282,0.5151
283,0.5698
284,0.5547
285,0.5157
286,0.4853
287,0.5393
288,0.5331
289,0.4954
290,0.5182
291,0.5663
292,0.5556
293,0.5877
294,0.5005
295,0.5542
296,0.5340
297,0.5252
298,0.4997
299,0.5605
300,0.5768
301,0.6729
302,0.6022
303,0.4814
304,0.5085
305,0.4605
306,0.4982
307,0.5275
308,0.4617
309,0.4358
310,0.5563
311,0.5501
312,0.5491
313,0.5017
314,0.4784
315,0.5014
316,0.4994
317,0.5861
318,0.5780
319,0.7144
320,0.5691
321,0.5441
322,0.4760
323,0.6279
324,0.5982
325,0.5191
326,0.5454
327,0.5038
328,0.5587
329,0.4525
330,0.5431
331,0.5254
332,0.5814
333,0.5050
334,0.5745
335,0.5524
336,0.5984
337,0.5109
338,0.5233
339,0.5166
340,0.5512
341,0.5738
342,0.5697
343,0.5515
344,0.5691
345,0.5512
346,0.5185
347,0.4895
348,0.5264
349,0.5293
350,0.5316
351,0.5355
352,0.5640
353,0.4876
354,0.5078
355,0.6163
356,0.5077
357,0.5020
358,0.5098
359,0.5000
360,0.4977
361,0.5180
362,0.4675
363,0.5575
364,0.4812
365,0.5274
366,0.4690
367,0.6022
368,0.5332
369,0.4389
370,0.5479
371,0.5499
372,0.5465
373,0.5389
374,0.5409
375,0.5347
376,0.5800
377,0.5697
378,0.5314
379,0.6004
380,0.5395
381,0.6831
382,0.5360
383,0.6342
384,0.5120
385,0.4949
386,0.4943
387,0.5720
388,0.5987
389,0.5282
390,0.5420
391,0.5319
392,0.5235
393,0.5451
394,0.5195
395,0.5876
396,0.5197
397,0.5628
398,0.5524
399,0.5187
400,0.5164
401,0.5173
402,0.5141
403,0.5089
404,0.5551
405,0.5702
406,0.7064
407,0.5392
408,0.5117
409,0.5671
410,0.5239
411,0.5182
412,0.6595
413,0.5725
414,0.6788
415,0.5454
416,0.6102
417,0.6323
418,0.5179
419,0.5774
420,0.5671
421,0.5657
422,0.5842
423,0.5366
424,0.5168
425,0.5455
426,0.5387
427,0.5130
428,0.5095
429,0.5645
430,0.5037
431,0.5873
432,0.5527
433,0.5400
434,0.5858
435,0.5492
436,0.5124
437,0.5364
438,0.5576
439,0.5685
440,0.5919
441,0.5498
442,0.5524
443,0.4709
444,0.5016
445,0.4769
446,0.5033
447,0.4419
448,0.6617
449,0.5088
450,0.5305
451,0.6192
452,0.5772
453,0.5159
454,0.5505
455,0.5380
456,0.5160
457,0.5491
458,0.5333
459,0.5841
460,0.5291
461,0.6449
462,0.6095
463,0.5332
464,0.5767
465,0.4911
466,0.5698
467,0.5109
468,0.5614
469,0.4864
470,0.5707
471,0.4721
472,0.5576
473,0.5072
474,0.5513
475,0.6003
476,0.5779
477,0.5024
478,0.5846
479,0.5191
480,0.5027
481,0.6220
482,0.5384
483,0.5693
484,0.5241
485,0.5937
486,0.5742
487,0.5469
488,0.5408
489,0.5573
490,0.5924
491,0.5731
492,0.5423
493,0.5747
494,0.5073
495,0.5171
496,0.5444
497,0.5663
498,0.5078
499,0.5654
500,0.5381
501,0.5866
502,0.5379
503,0.5322
504,0.5450
505,0.5141
506,0.6629
507,0.4737
508,0.5351
509,0.5167
510,0.5419
511,0.4980
512,0.5763
513,0.5916
514,0.6261
515,0.4989
516,0.5683
517,0.5616
518,0.4874
519,0.5598
520,0.6031
521,0.5551
522,0.5394
523,0.5730
524,0.6480
525,0.5503
526,0.5779
527,0.5639
528,0.5099
529,0.6190
530,0.5366
531,0.5627
532,0.6872
533,0.5476
534,0.5250
535,0.5725
536,0.5576
537,0.5212
538,0.6273
539,0.5282
540,0.5529
541,0.5160
542,0.5221
543,0.5425
544,0.5875
545,0.6113
546,0.4777
547,0.4849
548,0.5520
549,0.6111
550,0.4812
551,0.5138
552,0.5541
553,0.5199
554,0.5751
555,0.7120
556,0.5127
557,0.5494
558,0.5465
559,0.5267
560,0.5560
561,0.4925
562,0.5033
563,0.6141
564,0.5568
565,0.5408
566,0.5004
567,0.5907
568,0.5222
569,0.5766
570,0.5657
571,0.5721
572,0.5310
573,0.5921
574,0.5377
575,0.6153
576,0.5297
577,0.5173
578,0.5006
579,0.6463
580,0.5248
581,0.5336
582,0.5505
583,0.5035
584,0.5375
585,0.5644
586,0.5342
587,0.5399
588,0.5528
589,0.4780
590,0.5325
591,0.5443
592,0.5232
593,0.4678
594,0.5790
595,0.5269
596,0.5556
597,0.5040
598,0.5359
599,0.5561
600,0.7213
601,0.5296
602,0.4933
603,0.5614
604,0.5020
605,0.5657
606,0.5225
607,0.6088
608,0.5242
609,0.5226
610,0.5374
611,0.5010
612,0.5287
613,0.5717
614,0.5756
615,0.5231
616,0.5406
617,0.5160
618,0.6121
619,0.4838
620,0.5351
621,0.5546
622,0.5878
623,0.5363
624,0.5536
625,0.5433
626,0.4642
627,0.4982
628,0.4919
629,0.4943
630,0.5400
631,0.5644
632,0.6105
633,0.5958
634,0.5661
635,0.4961
636,0.5569
637,0.5086
638,0.6131
639,0.5620
640,0.5141
641,0.6516
642,0.5560
643,0.5622
644,0.5776
645,0.5804
646,0.6168
647,0.5570
648,0.5773
649,0.5534
650,0.5120
651,0.5249
652,0.5922
653,0.6044
654,0.6069
655,0.5687
656,0.5621
657,0.5449
658,0.5836
659,0.5099
660,0.6175
661,0.5606
662,0.4919
663,0.6447
664,0.5105
665,0.5660
666,0.5401
667,0.5854
668,0.6060
669,0.5508
670,0.5528
671,0.6119
672,0.5465
673,0.4802
674,0.5025
675,0.7402
676,0.4559
677,0.5960
678,0.5979
679,0.5806
680,0.4809
681,0.4974
682,0.5503
683,0.6226
684,0.6414
685,0.5759
686,0.5417
687,0.5071
688,0.5288
689,0.5118
690,0.5624
691,0.6128
692,0.4819
693,0.5767
694,0.5164
695,0.5418
696,0.6025
697,0.4824
698,0.6112
699,0.5900
700,0.5900
701,0.5465
702,0.6628
703,0.5153
704,0.5242
705,0.5386
706,0.6529
707,0.5139
708,0.5176
709,0.5463
710,0.5525
711,0.5043
712,0.4906
713,0.5852
714,0.5171
715,0.5174
716,0.4947
717,0.5407
718,0.5657
719,0.6368
720,0.5956
721,0.5803
722,0.5753
723,0.5694
724,0.4840
725,0.5237
726,0.5982
727,0.4650
728,0.5527
729,0.5531
730,0.5862
731,0.5514
732,0.5858
733,0.5785
734,0.6270
735,0.5460
736,0.5488
737,0.5939
738,0.5867
739,0.4942
740,0.5092
741,0.6012
742,0.5855
743,0.5169
744,0.5408
745,0.5393
746,0.5605
747,0.5755
748,0.5215
749,0.5173
750,0.5384
